"text","screen_name","followers_count","retweet_count","favorite_count","vader","threshold","Rel1","Sentiment1","Rel2","Sentiment2"
"'Globally, agriculture is the principal threat, but secondary threats vary by region.'

<U+0001F53A>This isn't a 'climate' emergency, it's an economic growth emergency, a capitalism catastrophe ('there are also emerging threats, such as pollution and climate change')https://t.co/b7mbC3KrHu","ClimateBen",56386,35,63,-0.932,-1,,,,
"'Investment market has flipped: renewables are now safe and boring, oil &amp; gas is high risk'
https://t.co/7JlKmG8Flt  Not politics but ""Exxon own investors will be  calling them out for being very bad at their jobs, very bad at generating sustainable returns in a new environment ""","OsmundsenTerje",24778,3,11,-0.912,-1,,,,
"""Speakers at a youth-focused press briefing hosted by @CANIntl reminded world leaders that distant plans to cut emissions &amp; a failure to address the immediate needs of the most vulnerable people do not line up with the escalating scale of the climate emergency"" https://t.co/l4yaLRhrMH","CANIntl",32551,3,5,-0.848,-1,1,-1,1,-1
"""The disasters caused a total of $95 billion in damages and killed 262 people."" https://t.co/9Rt8imsNpM #ClimateCentral","ClimateCentral",127361,10,17,-0.9,-1,1,-1,1,-1
"""The report shows in stark numbers how governments are failing to stop the climate crisis. With their woefully weak climate targets big emitters like Japan, Australia &amp; Brazil are weighing down overall global ambition...""  @TasneemEssop 

https://t.co/nxOGpC984B","CANIntl",32551,1,4,-0.914,-1,1,-1,1,-1
"""There is no way that we will address the climate crisis or biodiversity loss in any sort of timely manner if the #CatholicChurch does not engage, especially with its own lands and property,â€ according to one devout cartographer: https://t.co/ZKwiFEy8tk via @NewYorker https://t.co/MhFNAKWGa0","YaleClimateComm",68310,5,13,-0.864,-1,,,,
"""We canâ€™t rely on @BillGates or @POTUS to solve the climate crisis. The majority of peopleâ€”who will be harmed mostâ€”have to mobilise to demand a different way of organising society: based on meeting the needs of the many, rather than the greed of the few.""

https://t.co/t6aFcQew13","ExtinctionR",358387,55,194,-0.862,-1,,,,
"#Climate and economic risks 'threaten 2008-style systemic collapse' - environmental and social problems could interact in global breakdown, report says.  https://t.co/MfdrizKGyJ","ClimateChangeUS",18191,2,1,-0.862,-1,1,-1,1,-1
"#EUMercosur is a crooked deal that stands for more pesticides, Amazon destruction and human rights abuse! It's a risk for the EU and for Latin Americas local markets and peoples wellbeing @vonderleyen stop supporting ecocide and #SayNoEUMercosur!","Fridays4future",99246,332,1043,-0.847,-1,,,,
"... and we are not doing enough. The climate crisis is not a scientific debate, itâ€™s a political one (refer to Oreske). And the most vulnerable feel the impacts first. To that list, add youth who are having to deal with climate anxiety and climate grief","xiyebastida",17397,15,149,-0.88,-1,,,,
