screen_name,followers_count,retweet_count,favorite_count,text,vader,threshold,Rel1,Sentiment1,Rel2,Sentiment2
sunrisemvmt,278145,39,134,"Outrageous price gouging of utility bills right after one of Texasâ€™ worst climate disasters is a slap in the face to all Texans, and it will only accelerate rising poverty rates in the South.

@GovAbbott, cancel these utility bills *now* and resign for your failure to serve Texas https://t.co/lHEeqrrvRr",-0.964,-1,1,-1,1,-1
UNEP,1091301,75,160,"Environmental crime - such as illegal trade in wildlife -  is the 4th largest illegal activity after drug smuggling, counterfeiting and human trafficking. 

Learn about exceptional efforts on the frontlines to stop environmental crime in Asia:  https://t.co/uJkRnLxaUN

#ForNature https://t.co/11ivNyz7pk",-0.961,-1,1,-1,1,0
Fridays4future,99246,8,25,"@StanChart @wef Hey, @StanChart: This is your call to phase out of fossil fuels. ""Your money kills people, fuels the climate crisis, and destroys our homes.""

It's time to stop funding our destruction! It's time to #RaiseYourStandards!
https://t.co/le7RixTi4i",-0.956,-1,1,-1,1,-1
Fridays4future,99246,13,48,"@StanChart @LFC Hey, @StanChart: This is your call to phase out of fossil fuels. ""Your money kills people, fuels the climate crisis, and destroys our homes.""

It's time to stop funding our destruction! It's time to #RaiseYourStandards!
https://t.co/le7RiyaTsS",-0.956,-1,1,-1,1,-1
greenpeaceusa,210504,85,195,"Today is #WorldDayofSocialJustice! <U+270A><U+0001F3FB><U+270A><U+0001F3FC><U+270A><U+0001F3FD><U+270A><U+0001F3FF>

But thereâ€™s no social justice without environmental justice. We must hold the fossil fuel industry accountable for the #ClimateCrisis that is making poverty and inequality worse.

Itâ€™s time for a #FossilFreeRevolution! https://t.co/E9yozqsyR3",-0.955,-1,1,-1,1,-1
greenpeaceusa,210504,18,20,"The tar spill in the Mediterranean is not an accident, but an environmental crime perpetrated by people.
 
Such a crime underscores the danger of toxic fuels and how foolish it is to rely on them. Itâ€™s time for a #FossilFreeRevolution.
 
<U+0001F4F8>: Elad Aybes https://t.co/e0mxPHC97Y",-0.951,-1,1,-1,1,-1
algore,3057070,147,715,"Today, we commemorate the end of slavery &amp; celebrate Black freedom. Yet, the fight for equality and justice continues in the face of systemic racism, police brutality, ecological devastation and the climate crisis. There can be no climate justice without racial justice. 1/2",-0.949,-1,1,-1,1,-1
ScarlettOWest,5074,5,34,state violence shouldnâ€™t have to be the answer to people trying to stay alive. the amount of abuse that occurs within mental health services is beyond ridiculous and itâ€™s scary to think of how many people leave them being even more traumatised,-0.946,-1,0,,0,
YaleClimateComm,68310,17,28,"A new study has found that 8.7 million people around the world die each year from breathing air polluted by the burning of fossil fuels. Tiny particles lodge in the lungs and cause ailments from asthma to cancer, strokes, and early death: https://t.co/xz2xUBDKY0 via @guardian https://t.co/VVXbHbVUov",-0.945,-1,1,-1,1,-1
ClimateReality,548045,16,30,"Environmental racism, classism, and injustice is happening right now in Memphis. 

The @ByhaliaPipeline in Memphis, TN is threatening the predominantly Black cityâ€™s drinking water for their crude oil pipeline. Tell @MEM_Council to Oppose the @ByhaliaPipeline w/ @MemphisCAP_org",-0.942,-1,1,-1,1,-1
