"user_id","status_id","created_at","screen_name","text","source","display_text_width","reply_to_status_id","reply_to_user_id","reply_to_screen_name","is_quote","is_retweet","favorite_count","retweet_count","quote_count","reply_count","hashtags","symbols","urls_url","urls_t.co","urls_expanded_url","media_url","media_t.co","media_expanded_url","media_type","ext_media_url","ext_media_t.co","ext_media_expanded_url","ext_media_type","mentions_user_id","mentions_screen_name","lang","quoted_status_id","quoted_text","quoted_created_at","quoted_source","quoted_favorite_count","quoted_retweet_count","quoted_user_id","quoted_screen_name","quoted_name","quoted_followers_count","quoted_friends_count","quoted_statuses_count","quoted_location","quoted_description","quoted_verified","retweet_status_id","retweet_text","retweet_created_at","retweet_source","retweet_favorite_count","retweet_retweet_count","retweet_user_id","retweet_screen_name","retweet_name","retweet_followers_count","retweet_friends_count","retweet_statuses_count","retweet_location","retweet_description","retweet_verified","place_url","place_name","place_full_name","place_type","country","country_code","geo_coords","coords_coords","bbox_coords","status_url","name","location","description","url","protected","followers_count","friends_count","listed_count","statuses_count","favourites_count","account_created_at","verified","profile_url","profile_expanded_url","account_lang","profile_banner_url","profile_background_url","profile_image_url"
"x1053768884732547072","x1369222753161682944",2021-03-09 09:45:17,"Fridays4future","THIS IS BIG: New research by @DeSmogUK reveals that @StanChart bosses have strong ties to fossil fuel &amp; other pollu… https://t.co/UG2XBfPfxO","Twitter for Android",,,,,FALSE,FALSE,60,28,,,,,"twitter.com/i/web/status/1…","https://t.co/UG2XBfPfxO","https://twitter.com/i/web/status/1369222753161682944",,,,,,,,,"x2620095853 x58354465","DeSmogUK StanChart","en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1369222753161682944","Fridays For Future","Earth","International Fridays For Future Twitter <U+0001F30E> | Grassroots movement <U+0001F525><U+270A><U+0001F3FE> |
#FridaysForFuture |","https://t.co/BJHVa4AtTG",FALSE,99249,1190,787,7259,6672,2018-10-20 22:04:14,TRUE,"https://t.co/BJHVa4AtTG","https://fridaysforfuture.org/march19",,"https://pbs.twimg.com/profile_banners/1053768884732547072/1610542742",,"http://pbs.twimg.com/profile_images/1349954632303472651/kd2MG3VA_normal.jpg"
"x1006419421244678144","x1369186748702593025",2021-03-09 07:22:13,"GretaThunberg","Top 10 countries that have achieved gender equality:

1.
2.
3.
4.
5.
6.
7.
8.
9.
10.

There are none.

Will you joi… https://t.co/LAky9DOYPD","Twitter Web App",,,,,FALSE,TRUE,0,4491,,,,,,,,,,,,,,,,"x17137628","UN_Women","en",,,,,,,,,,,,,,,,"x1369008794655727621","Top 10 countries that have achieved gender equality:

1.
2.
3.
4.
5.
6.
7.
8.
9.
10.

There are none.

Will you joi… https://t.co/LAky9DOYPD",2021-03-08 19:35:06,"Hootsuite Inc.",14342,4491,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1369186748702593025","Greta Thunberg","Sverige","Climate and environmental activist with Asperger’s 
Born at 375ppm
#ClimateStrike #FridaysForFuture #SchoolStrike4Climate #FaceTheClimateEmergency","https://t.co/LA8lYvULhX",FALSE,4958594,2429,10189,9096,18054,2018-06-12 06:14:23,TRUE,"https://t.co/LA8lYvULhX","http://ClimateEmergencyEU.org",,"https://pbs.twimg.com/profile_banners/1006419421244678144/1559499911",,"http://pbs.twimg.com/profile_images/1351885832320380928/qAXFKHx5_normal.jpg"
"x1107483560943013888","x1368967707526316037",2021-03-08 16:51:50,"xiyebastida","I can’t emphasize how important this is. All of our dreams are valid— and when we figure that out the next step is… https://t.co/UFiZRqvwQE","Twitter for iPhone",,,,,FALSE,FALSE,43,10,,,,,"twitter.com/i/web/status/1…","https://t.co/UFiZRqvwQE","https://twitter.com/i/web/status/1368967707526316037",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1368967707526316037","Xiye Bastida","New York, NY | she/her","18 year old Climate Justice Activist. Otomi-Toltec. Co-Founder of @Re_EarthOrg organizer with @fridays4future <U+0001F30E> <U+0001F1F2><U+0001F1FD> @penn","https://t.co/D8JLMUnq3Y",FALSE,17399,471,233,569,2090,2019-03-18 03:27:11,FALSE,"https://t.co/D8JLMUnq3Y","http://www.reearthin.org",,"https://pbs.twimg.com/profile_banners/1107483560943013888/1567386420",,"http://pbs.twimg.com/profile_images/1286369189645520896/zcP5fRKq_normal.jpg"
"x38146999","x1369271810932477953",2021-03-09 13:00:14,"UNEP","Have you ever experienced a power cut? Tell us below <U+27A1><U+FE0F> Investments in <U+267B><U+FE0F> sustainable infrastructure can be a solut… https://t.co/N6axAksuUr","Buffer",,,,,FALSE,FALSE,32,8,,,,,"twitter.com/i/web/status/1…","https://t.co/N6axAksuUr","https://twitter.com/i/web/status/1369271810932477953",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1369271810932477953","UN Environment Programme","Nairobi, Kenya","Official account of the United Nations Environment Programme. <U+0001F30F><U+0001F30D><U+0001F30E> #ForNature","https://t.co/sNtu0hN4Fz",FALSE,1091307,2955,10925,30945,12377,2009-05-06 09:34:32,TRUE,"https://t.co/sNtu0hN4Fz","https://linktr.ee/UNEP",,"https://pbs.twimg.com/profile_banners/38146999/1592209713","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/1186261881436229632/3NxNNjLZ_normal.png"
"x372867318","x1369218149057372160",2021-03-09 09:27:00,"UNEP_Europe","Did you know that we can tackle 70+% of global GhG emissions at household level? Our political &amp; lifestyle decision… https://t.co/xia6UdJ59x","TweetDeck",,,,,FALSE,FALSE,6,2,,,,,"twitter.com/i/web/status/1…","https://t.co/xia6UdJ59x","https://twitter.com/i/web/status/1369218149057372160",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1369218149057372160","UN Environment Programme Europe","Europe","Official channel of the United Nations Environment Programme in Europe.  RT, likes, quotes from 3rd parties & links are not endorsements.","https://t.co/qLOnS4dYAZ",FALSE,23082,1761,503,6062,2758,2011-09-13 15:26:30,TRUE,"https://t.co/qLOnS4dYAZ","https://www.unenvironment.org/regions/europe",,"https://pbs.twimg.com/profile_banners/372867318/1589542034","http://abs.twimg.com/images/themes/theme13/bg.gif","http://pbs.twimg.com/profile_images/1186266116303347713/WqRfAF2Q_normal.png"
"x1019974187975430144","x1369011286269325312",2021-03-08 19:45:00,"ExtinctionR","Viewing link to watch three amazing women in conversation: https://t.co/a6pCb72942

#InternationalWomensDay","Twitter Web App",,"x1368980899178688518","x1019974187975430144","ExtinctionR",FALSE,FALSE,8,7,,,"InternationalWomensDay",,"youtu.be/LFPHW2Z3_SU","https://t.co/a6pCb72942","https://youtu.be/LFPHW2Z3_SU",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1369011286269325312","Extinction Rebellion","Earth","Global non-violent direct action movement demanding a response to the climate and ecological emergency. We want #CitizensAssemblies to decide the way forward <U+23F3>","https://t.co/iDLdjygsZY",FALSE,358387,24493,0,38468,127641,2018-07-19 15:56:11,FALSE,"https://t.co/iDLdjygsZY","https://rebellion.global",,"https://pbs.twimg.com/profile_banners/1019974187975430144/1593878145","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1330524262994743296/hVrRvj4d_normal.png"
"x3459051","x1369274726741405701",2021-03-09 13:11:49,"Greenpeace","Not all humans. 

Local communities and Indigenous People have been the stewards and caretakers of their ancestral… https://t.co/EXVCAuGcDb","Twitter Web App",,,,,FALSE,FALSE,90,41,,,,,"twitter.com/i/web/status/1…","https://t.co/EXVCAuGcDb","https://twitter.com/i/web/status/1369274726741405701",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1369274726741405701","Greenpeace","Global","Greenpeace exists because this fragile Earth deserves a voice. It needs solutions. It needs change. It needs action.","https://t.co/E8iVq9veyl",FALSE,1896495,4062,18829,67920,12225,2007-04-04 20:30:34,TRUE,"https://t.co/E8iVq9veyl","http://www.greenpeace.org/international",,"https://pbs.twimg.com/profile_banners/3459051/1615267016","http://abs.twimg.com/images/themes/theme14/bg.gif","http://pbs.twimg.com/profile_images/1148171158816264192/fhbbxS9Y_normal.png"
"x1880725393","x1369071385478369281",2021-03-08 23:43:49,"sunrisemvmt","Last night, we projected Senator Sinema’s thumbs-down vote and failure to fight for working Arizonans on the Histor… https://t.co/6yFP4N6P9W","Twitter for Android",,,,,FALSE,TRUE,0,224,,,,,,,,,,,,,,,,"x1261465550489743360","SunriseTempe","en",,,,,,,,,,,,,,,,"x1368592861428523008","Last night, we projected Senator Sinema’s thumbs-down vote and failure to fight for working Arizonans on the Histor… https://t.co/6yFP4N6P9W",2021-03-07 16:02:20,"Twitter for iPhone",1120,224,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1369071385478369281","Sunrise Movement <U+0001F305>","United States","We are building a movement of young people to stop climate change and create millions of good jobs in the process <U+2600><U+FE0F> #GreenNewDeal","https://t.co/QP3nV1csIr",FALSE,278146,3199,2326,18341,27251,2013-09-18 20:00:13,TRUE,"https://t.co/QP3nV1csIr","https://smvmt.link/GJ4A",,"https://pbs.twimg.com/profile_banners/1880725393/1607547190","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1326903239225307138/gXsRSTDv_normal.jpg"
"x192942213","x1369284595175264259",2021-03-09 13:51:02,"IPCC_CH","#IPCC is saddened to hear of the loss of Gemma Teresa T. Narisma, one of the authors of the Sixth Assessment Report… https://t.co/IZyRHL0obw","Twitter Media Studio",,,,,FALSE,FALSE,5,4,,,"IPCC",,"twitter.com/i/web/status/1…","https://t.co/IZyRHL0obw","https://twitter.com/i/web/status/1369284595175264259",,,,,,,,,,,"en",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1369284595175264259","IPCC","Geneva, Switzerland                    (ipcc-media@wmo.int)","The Intergovernmental Panel on Climate Change #IPCC is the leading world body for the assessment of #climatechange. RT <U+2260> endorsement <U+0001F30D> <U+0001F469><U+0001F3FF><U+200D><U+0001F52C><U+0001F468><U+0001F3FE><U+200D><U+0001F52C>","https://t.co/7uzKfCkiTp",FALSE,234387,890,3607,6988,1400,2010-09-20 15:37:53,TRUE,"https://t.co/7uzKfCkiTp","https://www.ipcc.ch",,"https://pbs.twimg.com/profile_banners/192942213/1611582968","http://abs.twimg.com/images/themes/theme2/bg.gif","http://pbs.twimg.com/profile_images/1232765538310422529/P3wyzJ2h_normal.jpg"
"x2874183033","x1369183520866803712",2021-03-09 07:09:24,"theGCF","Through a $119M @theGCF project, @FAO is working with #Cuba to increase #climate resilience, improve #livelihoods &amp;… https://t.co/YtT3Tm7msA","Twitter Web App",,,,,FALSE,TRUE,0,6,,,"Cuba climate livelihoods",,,,,,,,,,,,,"x146620155 x2874183033 x19649135","FAOclimate theGCF FAO","en",,,,,,,,,,,,,,,,"x1368970580586860545","Through a $119M @theGCF project, @FAO is working with #Cuba to increase #climate resilience, improve #livelihoods &amp;… https://t.co/YtT3Tm7msA",2021-03-08 17:03:15,"Hootsuite Inc.",9,6,,,,,,,,,,,,,,,,"NA NA","NA NA","NA NA NA NA NA NA NA NA","https://twitter.com/NA/status/1369183520866803712","Green Climate Fund","Songdo, Republic of Korea","GCF is the world's largest climate fund dedicated to helping developing countries take climate action. #greenclimatefund #gcfund","https://t.co/bI5hL9qYyX",FALSE,49689,208,0,2551,1817,2014-11-12 20:18:10,TRUE,"https://t.co/bI5hL9qYyX","https://www.greenclimate.fund",,"https://pbs.twimg.com/profile_banners/2874183033/1574990641","http://abs.twimg.com/images/themes/theme1/bg.png","http://pbs.twimg.com/profile_images/1081074140302307328/GORBTjBU_normal.jpg"
