"screen_name","followers_count","protected","statuses_count"
"Fridays4future",99249,FALSE,7259
"GretaThunberg",4958594,FALSE,9096
"xiyebastida",17399,FALSE,569
"UNEP",1091307,FALSE,30945
"UNEP_Europe",23082,FALSE,6062
"ExtinctionR",358387,FALSE,38468
"Greenpeace",1896495,FALSE,67920
"sunrisemvmt",278146,FALSE,18341
"IPCC_CH",234387,FALSE,6988
"theGCF",49689,FALSE,2551
"c40cities",106474,FALSE,30908
"earthwatch_org",14275,FALSE,11596
"WILDfoundation",10615,FALSE,7154
"Green_Europe",32633,FALSE,16056
"GreenAllianceUK",35653,FALSE,27406
"ScarlettOWest",5074,FALSE,14486
"UNFCCC",786740,FALSE,27358
"tveitdal",308404,FALSE,55915
"ErikSolheim",145791,FALSE,19443
"JoyceMsuya",21141,FALSE,2404
"RichardMunang",32202,FALSE,183004
"ClimateAdapt",10662,FALSE,8669
"OsmundsenTerje",24778,FALSE,8110
"EmpowerNEnergy",141,FALSE,120
"Planetary_Sec",115374,FALSE,1892
"COP26",58999,FALSE,3291
"PEspinosaC",108146,FALSE,4731
"ClimateHome",50489,FALSE,53661
"theCCCuk",48150,FALSE,4895
"CarbonBrief",93902,FALSE,47880
"insideclimate",132425,FALSE,49706
"ClimateReality",548047,FALSE,79812
"algore",3057067,FALSE,2846
"ClimateEnvoy",119885,FALSE,63
"WeDontHaveTime",85679,FALSE,16313
"ClimateBen",56390,FALSE,36326
"ECOWARRIORSS",26526,FALSE,133866
"ClimatePower",232006,FALSE,38962
"guardianeco",496500,FALSE,67900
"nytclimate",101711,FALSE,13770
"YaleE360",132499,FALSE,16828
"YaleClimateComm",68310,FALSE,11496
"ClimateDesk",159824,FALSE,21640
"ClimateCentral",127361,FALSE,60345
"ChiefExecCCC",19502,FALSE,1919
"NetZeroUK",10592,FALSE,2338
"ClimateChangeUS",18191,FALSE,2781
"CBI_CC",13309,FALSE,2661
"greenpeaceusa",210505,FALSE,42824
"WRIClimate",56751,FALSE,25027
"UNDPClimate",37102,FALSE,10881
"ClimateNexus",28733,FALSE,53158
"CANIntl",32553,FALSE,11422
"Farah_mkma",1673,FALSE,1011
"AnnaKernahan",7796,FALSE,5448
"vanessa_vash",206994,FALSE,13469
"parents4future",35139,FALSE,125801
"AlexandriaV2005",56335,FALSE,4233
"KateAronoff",77757,FALSE,28643
"350",392725,FALSE,54339
"World_Wildlife",1480169,FALSE,13408
"Treehugger",354193,FALSE,55243
"voice4theplanet",228,FALSE,340
"fp_coalition",3411,FALSE,57
"Shell",553816,FALSE,5238
"exxonmobil",326106,FALSE,7091
"IEA",197182,FALSE,24969
"AldersgateGrp",5486,FALSE,8108
"GermanEnvAgency",1470,FALSE,530
"EUEnvironment",88013,FALSE,8478
"CmccClimate",3977,FALSE,13041
"OrstedUK",14921,FALSE,4053
"FirstSolar",30923,FALSE,1659
"Canadian_Solar",22444,FALSE,4084
"Mirrecogroup",226,FALSE,420
"Seeo2E",25,FALSE,9
"DeepBranchBio",498,FALSE,171
"based_ocean",43,FALSE,14
"CarbonEngineer",6340,FALSE,365
"Climeworks",8337,FALSE,2710
